,unique_key,date,arrest,domestic,community_area,longitude,latitude,year
324,2755,2004-06-21 18:22:00+00:00,True,False,14.0,-87.708545414,41.970912695,2004
325,4912,2009-01-31 01:10:00+00:00,True,False,14.0,-87.726290051,41.971902506,2009
326,20324,2012-03-19 09:35:00+00:00,False,False,14.0,-87.717373489,41.968358893,2012
327,3156,2005-05-21 15:40:00+00:00,True,False,14.0,-87.718939265,41.966517688,2005
328,22201,2015-12-01 18:43:00+00:00,False,False,14.0,-87.713337286,41.967464509,2015
329,22248,2015-12-15 02:48:00+00:00,False,False,14.0,-87.714927933,41.968384165,2015
330,20716,2012-11-15 10:55:00+00:00,True,True,14.0,-87.704881423,41.971054604,2012
331,24127,2018-08-13 19:43:00+00:00,False,False,14.0,-87.723796532,41.971930457,2018
332,21136,2013-10-27 01:29:00+00:00,False,False,14.0,-87.721003237,41.968317938,2013
333,2227,2003-06-23 00:50:00+00:00,False,False,14.0,-87.710992634,41.971104361,2003
334,20224,2012-01-02 02:22:00+00:00,False,False,14.0,-87.705259739,41.968479866,2012
335,916,2001-07-05 03:00:00+00:00,False,False,14.0,-87.707326679,41.971070708,2001
336,1268,2001-12-09 02:30:00+00:00,False,False,14.0,-87.708373009,41.965225762,2001
337,646,2001-01-10 01:59:00+00:00,True,False,14.0,-87.722340107,41.971950157,2001
338,22773,2016-09-07 05:16:00+00:00,False,False,14.0,-87.705830282,41.962050564,2016
339,19090,2009-09-21 01:00:00+00:00,True,False,14.0,-87.717396647,41.962900789,2009
340,5008,2009-05-03 16:33:00+00:00,True,False,14.0,-87.70727329,41.969012263,2009
341,3229,2005-07-06 21:10:00+00:00,False,False,14.0,-87.709977733,41.964688389,2005
342,2588,2004-02-01 01:30:00+00:00,True,False,14.0,-87.727854654,41.962012411,2004
343,20797,2013-02-01 20:23:00+00:00,False,False,15.0,-87.766982153,41.952571673,2013
344,22188,2015-11-23 18:53:00+00:00,False,False,15.0,-87.767776223,41.951324224,2015
345,22509,2016-05-28 05:28:00+00:00,True,False,15.0,-87.786080959,41.960230099,2016
346,4161,2007-07-17 17:10:00+00:00,True,False,15.0,-87.758406192,41.965168894,2007
347,19908,2011-06-06 02:00:00+00:00,True,True,15.0,-87.770013728,41.953140919,2011
348,709,2001-03-04 05:22:00+00:00,True,False,15.0,-87.776795953,41.953624047,2001
349,20460,2012-06-13 05:14:00+00:00,False,False,15.0,-87.764806379,41.941337063,2012
350,21552,2014-09-10 01:26:00+00:00,True,False,15.0,-87.755543856,41.94784951,2014
351,3570,2006-04-29 16:12:00+00:00,True,False,15.0,-87.746123308,41.946138719,2006
352,10164471,2015-07-23 16:48:00+00:00,True,False,15.0,-87.766698991,41.944279991,2015
353,2036,2003-03-07 16:25:00+00:00,True,False,16.0,-87.703483391,41.95394778,2003
354,22405,2016-04-01 16:50:00+00:00,True,False,16.0,-87.727597997,41.953007297,2016
355,19548,2010-08-16 01:40:00+00:00,False,False,16.0,-87.705653271,41.956484339,2010
356,1718,2002-08-31 04:03:00+00:00,True,False,16.0,-87.70718566,41.953926868,2002
357,23143,2017-02-16 05:58:00+00:00,False,False,16.0,-87.727849802,41.939995547,2017
358,2473,2003-11-04 13:00:00+00:00,True,False,16.0,-87.705676293,41.946643714,2003
359,1667,2002-08-07 00:45:00+00:00,True,False,16.0,-87.697387744,41.953977294,2002
